"Name","Count","Front Template","Back Template","keywords","range","ap","color","art"
"Stalker Rifle","1","Weapon",,"Sniper Scope","R6","1","#a80016","stalker-rifle"
"Gravity Hammer","1","Weapon",,"Knockback, Lethal (1), Lunge","R1","-","#a80016","gravity-hammer"
"Gravity Hammer","1","Weapon",,"ESD (1), Knockback, Lethal (1), Smash (1)","CC","1","#a80016","gravity-hammer"
"Brute Shot","1","Weapon",,"Blast, ESD (1), Frag (4), Grenade","R5","1","#a80016","brute-shot"
"Brute Shot","1","Weapon",,"Lethal (1), Smash (1)","CC","1","#a80016","brute-shot"
"Skewer","1","Weapon",,"Knockback, Lethal (1), Long, Optics","R5","3","#a80016","skewer"
"Mangler","1","Weapon",,"Knockback","R3","1","#a80016","mangler"
"Mangler","1","Weapon",,"Lethal (1)","CC","1","#a80016","mangler"
"Ravager","1","Weapon",,"Rapid Fire","R6","1","#a80016","ravager"
"Ravager","1","Weapon",,"Blast, ESD (1), Grenade, Implosion (5), Long","R5","1","#a80016","ravager"
"Ravager","1","Weapon",,"Lethal (1)","CC","1","#a80016","ravager"
"Disruptor","1","Weapon",,"ESD (1), Rapid Fire","R3","-","#a80016","disruptor"
"Dynamo Grenade","1","Weapon",,"EMP, Grenade, Implosion (3), One-Use","R4","-","#a80016","dynamo-grenade"
"Spike Grenade","1","Weapon",,"Frag (4), Grenade, One-Use, Sticky","R3","1","#a80016","spike-grenade"
"Mauler","1","Weapon",,"ESD (1), Knockback, Lethal (1)","R2","1","#a80017","mauler"
"Mauler","1","Weapon",,"-","CC","1","#a80018","mauler"
"Scrap Cannon","1","Weapon",,"Firing Platform (3), Knockback, Support Weapon","R4","-","#a80016","scrap-cannon"
"Sentinel Beam","1","Weapon",,"Continuous Fire, Lethal (1)","R6","1","#6f777e","sentinel-beam"
"Heatwave","1","Weapon",,"ESD (2), Lethal (1)","R4","-","#6f777e","heatwave"
"Cindershot","1","Weapon",,"ESD (1), Grenade, Implosion (5), Lethal (1)","R4","-","#6f777e","cindershot"
"Z-250 Light Rifle","1","Weapon",,"ESD (1), Lethal (1), Optics","R6","1","#f15a22","light-rifle"
"Z-110 Boltshot","1","Weapon",,"ESD (1), Lethal (1), Weight of Fire (1)","R3","-","#f15a23","boltshot"
"Z-110 Boltshot","1","Weapon",,"ESD (1), Knockback, Lethal (1)","R1","1","#f15a23","boltshot"
"Z-130 Suppressor","1","Weapon",,"ESD (1), Lethal (1), Rapid Fire, Weight of Fire (1)","R3","-","#f15a24","suppressor"
"Z-180 Scattershot","1","Weapon",,"ESD (1), Knockback, Lethal (2)","R3","2","#f15a25","scattershot"
"Z-390 Incineration Cannon","1","Weapon",,"Blast, ESD (2), Implosion (5), Lethal (2), Explosive, One-Use","R4","3","#f15a26","incineration-cannon"
"Z-520 Spinter Turret","1","Weapon",,"ESD (1), Firing Platform (2), Implosion (4), Support Weapon","R4","-","#f15a27","splinter-turret"
"Z-400 Spinter Grenade","1","Weapon",,"Implosion (4), Grenade, One-Use","R3","1","#f15a28","splinter-grenade"
"Z-750 Binary Rifle","1","Weapon",,"ESD (2), Lethal (2), Sniper Scope, Two-Uses","R7","3","#f15a29","binary-rifle"
"Z-040 Pulse Grenade","1","Weapon",,"EMP, Grenade, Implosion (3), Weight of Fire (2), One-Use","R3","-","#f15a30","pulse-grenade"
